has,prefers,count
"Stanford","Stanford",3
"MIT","MIT",2
"Harvard","Harvard",10
"UC Berkeley","UC Berkeley",2
"Rochester","Rochester",0
"Chicago","Chicago",2
"Cornell","Cornell",0
"Northwestern","Northwestern",4
"Michigan","Michigan",3
"Columbia","Columbia",1
"Yale","Yale",2
"UPenn","UPenn",1
"Carnegie Mellon","Carnegie Mellon",0
"Wisconsin","Wisconsin",0
"UCLA","UCLA",0
"NYU","NYU",1
"Minnesota","Minnesota",0
"Illinois, Urb. Champ.","Illinois, Urb. Champ.",1
"Duke","Duke",2
"Purdue","Purdue",0
"Ohio State","Ohio State",1
"Iowa","Iowa",1
"UNC","UNC",6
"Wash. U. in St. Louis","Wash. U. in St. Louis",0
"Florida","Florida",0
"UT Austin","UT Austin",1
"Pittsburgh","Pittsburgh",0
"Penn State","Penn State",1
"Washington","Washington",2
"Maryland","Maryland",0
"Indiana","Indiana",3
"Michigan State","Michigan State",3
"Georgia Tech","Georgia Tech",0
"Colorado, Boulder","Colorado, Boulder",0
"UC Irvine","UC Irvine",0
"Arizona","Arizona",0
"Utah","Utah",0
"Oregon","Oregon",0
"USC","USC",7
"SUNY Buffalo","SUNY Buffalo",0
"UT Dallas","UT Dallas",0
"Virginia","Virginia",0
"Boston","Boston",2
"UMass Amherst","UMass Amherst",2
"TexasAM","TexasAM",0
"Emory","Emory",1
"Case Western","Case Western",1
"UC Davis","UC Davis",0
"Georgia","Georgia",1
"Vanderbilt","Vanderbilt",1
"Syracuse","Syracuse",0
"Claremont","Claremont",0
"Arizona State","Arizona State",0
"South Carolina","South Carolina",0
"Virginia Tech","Virginia Tech",5
"Florida State","Florida State",2
"Lower 56 Universities","Lower 56 Universities",136
"Harvard","Stanford",2
"Cornell","Stanford",1
"Northwestern","Stanford",1
"Michigan","Stanford",1
"Yale","Stanford",2
"Carnegie Mellon","Stanford",1
"UCLA","Stanford",1
"UT Austin","Stanford",1
"USC","Stanford",1
"Lower 56 Universities","Stanford",2
"Stanford","MIT",4
"Harvard","MIT",2
"UC Berkeley","MIT",2
"Chicago","MIT",3
"Northwestern","MIT",1
"Michigan","MIT",1
"Columbia","MIT",1
"Yale","MIT",1
"NYU","MIT",1
"Ohio State","MIT",1
"UNC","MIT",1
"Washington","MIT",1
"Stanford","Harvard",6
"MIT","Harvard",4
"Chicago","Harvard",1
"Northwestern","Harvard",3
"Michigan","Harvard",2
"Columbia","Harvard",3
"Yale","Harvard",1
"UPenn","Harvard",2
"Carnegie Mellon","Harvard",1
"UCLA","Harvard",2
"NYU","Harvard",2
"Purdue","Harvard",1
"Arizona","Harvard",1
"Stanford","UC Berkeley",4
"MIT","UC Berkeley",2
"Harvard","UC Berkeley",1
"Rochester","UC Berkeley",1
"Northwestern","UC Berkeley",1
"Michigan","UC Berkeley",1
"Yale","UC Berkeley",1
"UPenn","UC Berkeley",1
"UNC","UC Berkeley",1
"Washington","UC Berkeley",1
"Lower 56 Universities","UC Berkeley",1
"Stanford","Rochester",1
"Northwestern","Rochester",1
"NYU","Rochester",2
"Case Western","Rochester",1
"Lower 56 Universities","Rochester",1
"Stanford","Chicago",2
"MIT","Chicago",2
"Harvard","Chicago",3
"Cornell","Chicago",2
"Michigan","Chicago",1
"Columbia","Chicago",1
"UPenn","Chicago",1
"Carnegie Mellon","Chicago",1
"Stanford","Cornell",1
"UC Berkeley","Cornell",1
"Chicago","Cornell",1
"Northwestern","Cornell",2
"Columbia","Cornell",1
"Illinois, Urb. Champ.","Cornell",1
"Duke","Cornell",1
"Stanford","Northwestern",6
"MIT","Northwestern",4
"Harvard","Northwestern",2
"UC Berkeley","Northwestern",1
"Chicago","Northwestern",1
"Cornell","Northwestern",1
"Michigan","Northwestern",1
"Yale","Northwestern",1
"UPenn","Northwestern",1
"NYU","Northwestern",1
"Illinois, Urb. Champ.","Northwestern",1
"Stanford","Michigan",3
"Harvard","Michigan",2
"UC Berkeley","Michigan",1
"Rochester","Michigan",2
"Chicago","Michigan",1
"Northwestern","Michigan",2
"Columbia","Michigan",1
"NYU","Michigan",2
"Illinois, Urb. Champ.","Michigan",1
"Duke","Michigan",1
"UNC","Michigan",1
"UT Austin","Michigan",1
"Stanford","Columbia",4
"MIT","Columbia",2
"Harvard","Columbia",3
"UC Berkeley","Columbia",1
"Chicago","Columbia",1
"Northwestern","Columbia",1
"Yale","Columbia",1
"Carnegie Mellon","Columbia",1
"NYU","Columbia",1
"USC","Columbia",1
"Lower 56 Universities","Columbia",1
"Stanford","Yale",1
"MIT","Yale",3
"Harvard","Yale",3
"UC Berkeley","Yale",1
"Cornell","Yale",1
"Michigan","Yale",1
"Columbia","Yale",1
"NYU","Yale",1
"Stanford","UPenn",2
"MIT","UPenn",3
"Harvard","UPenn",7
"UC Berkeley","UPenn",3
"Chicago","UPenn",5
"Cornell","UPenn",2
"Northwestern","UPenn",1
"Michigan","UPenn",2
"Columbia","UPenn",3
"Yale","UPenn",1
"Carnegie Mellon","UPenn",1
"Wisconsin","UPenn",1
"UCLA","UPenn",2
"NYU","UPenn",1
"Minnesota","UPenn",1
"Illinois, Urb. Champ.","UPenn",1
"Duke","UPenn",2
"UNC","UPenn",1
"UT Austin","UPenn",2
"Lower 56 Universities","UPenn",2
"Stanford","Carnegie Mellon",4
"Harvard","Carnegie Mellon",1
"UC Berkeley","Carnegie Mellon",1
"Northwestern","Carnegie Mellon",2
"Michigan","Carnegie Mellon",2
"Columbia","Carnegie Mellon",1
"Wisconsin","Carnegie Mellon",3
"UNC","Carnegie Mellon",1
"Florida","Carnegie Mellon",1
"Georgia Tech","Carnegie Mellon",1
"Northwestern","Wisconsin",1
"Michigan","Wisconsin",1
"Minnesota","Wisconsin",1
"Iowa","Wisconsin",1
"Indiana","Wisconsin",1
"TexasAM","Wisconsin",1
"Lower 56 Universities","Wisconsin",1
"Stanford","UCLA",2
"MIT","UCLA",2
"Harvard","UCLA",2
"UC Berkeley","UCLA",1
"Chicago","UCLA",2
"Northwestern","UCLA",1
"Michigan","UCLA",1
"Carnegie Mellon","UCLA",1
"Wisconsin","UCLA",1
"Maryland","UCLA",1
"Arizona State","UCLA",1
"Stanford","NYU",3
"MIT","NYU",1
"Harvard","NYU",2
"Chicago","NYU",2
"Northwestern","NYU",2
"Columbia","NYU",5
"UPenn","NYU",3
"Duke","NYU",1
"Pittsburgh","NYU",1
"Washington","NYU",1
"Indiana","NYU",1
"UC Irvine","NYU",1
"Stanford","Minnesota",1
"MIT","Minnesota",1
"Rochester","Minnesota",1
"Chicago","Minnesota",1
"Northwestern","Minnesota",5
"Columbia","Minnesota",2
"Carnegie Mellon","Minnesota",1
"Wisconsin","Minnesota",1
"NYU","Minnesota",2
"Illinois, Urb. Champ.","Minnesota",2
"Ohio State","Minnesota",3
"Iowa","Minnesota",2
"Maryland","Minnesota",2
"UT Dallas","Minnesota",1
"Boston","Minnesota",1
"Lower 56 Universities","Minnesota",4
"Harvard","Illinois, Urb. Champ.",1
"UC Berkeley","Illinois, Urb. Champ.",1
"Cornell","Illinois, Urb. Champ.",2
"Michigan","Illinois, Urb. Champ.",1
"Wisconsin","Illinois, Urb. Champ.",1
"NYU","Illinois, Urb. Champ.",1
"Minnesota","Illinois, Urb. Champ.",1
"Duke","Illinois, Urb. Champ.",1
"Ohio State","Illinois, Urb. Champ.",1
"UT Austin","Illinois, Urb. Champ.",1
"Washington","Illinois, Urb. Champ.",1
"USC","Illinois, Urb. Champ.",1
"Virginia","Illinois, Urb. Champ.",1
"TexasAM","Illinois, Urb. Champ.",1
"Virginia Tech","Illinois, Urb. Champ.",1
"Lower 56 Universities","Illinois, Urb. Champ.",2
"MIT","Duke",1
"Chicago","Duke",1
"Cornell","Duke",1
"Northwestern","Duke",3
"Michigan","Duke",1
"Columbia","Duke",1
"NYU","Duke",3
"Pittsburgh","Duke",1
"Stanford","Purdue",1
"UC Berkeley","Purdue",1
"Chicago","Purdue",1
